Efecto del tamaño del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,1282,0.128%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,471,0.047%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,234,0.023%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,234,0.023%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,23729,2.373%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,21467,2.147%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,15453,1.545%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,4754,0.475%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,24090,2.409%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,22320,2.232%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21370,2.137%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21333,2.133%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,54928,5.493%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,25357,2.536%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,13260,1.326%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,11697,1.170%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,37468,3.747%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,22185,2.219%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,3264,0.326%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,1184,0.118%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,111595,11.159%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,110372,11.037%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,100313,10.031%
